strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,entry_main_score,exit_reason
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2026-01-16,2026-01-26,1171.0,1159.5,6,0.00982066609735269,0.8,tp3_main_turn_up
策略2_仅3槽_无板块互斥,铁矿石,黑色系,short,2026-01-16,2026-01-26,812.0,784.5,6,0.033866995073891626,0.8,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪锌,有色金属,short,2026-01-21,2026-01-27,24350.0,24950.0,4,-0.024640657084188913,0.8666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,甲醇,化工能化,long,2026-01-27,2026-02-02,2304.0,2252.0,4,-0.022569444444444444,1.0,tp3_main_turn_down
策略2_仅3槽_无板块互斥,铁矿石,黑色系,long,2026-01-27,2026-02-03,788.0,777.5,5,-0.0133248730964467,0.9333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,橡胶,化工能化,long,2026-01-28,2026-02-02,16360.0,15980.0,3,-0.023227383863080684,0.9333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,棕榈油,油脂油料,short,2026-02-03,2026-02-26,9094.0,8714.0,11,0.04178579283043765,1.0,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2026-02-03,2026-02-10,23810.0,23600.0,5,0.00881982360352793,0.9666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,豆粕,油脂油料,short,2026-02-04,2026-02-09,2723.0,2729.0,3,-0.0022034520749173708,0.9333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2026-02-10,2026-03-03,1119.0,1127.0,9,-0.0071492403932082215,0.26666666666666666,tp3_main_turn_up
策略2_仅3槽_无板块互斥,豆粕,油脂油料,long,2026-02-12,2026-02-27,2790.0,2833.0,5,0.015412186379928316,1.0,tp3_main_turn_down
策略2_仅3槽_无板块互斥,橡胶,化工能化,short,2026-03-04,2026-03-10,16740.0,17115.0,4,-0.022401433691756272,0.7666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,long,2026-03-04,2026-03-17,1097.0,1176.0,9,0.07201458523245215,0.8,tp3_main_turn_down
策略2_仅3槽_无板块互斥,甲醇,化工能化,long,2026-03-04,2026-03-10,2553.0,2549.0,4,-0.0015667841754798276,0.9666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,PTA,化工能化,short,2026-03-16,2026-03-30,6982.0,6768.0,10,0.030650243483242624,0.26666666666666666,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2026-03-17,2026-03-26,24990.0,23725.0,7,0.05062024809923969,0.7666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,豆粕,油脂油料,short,2026-03-18,2026-03-31,3036.0,2915.0,9,0.03985507246376811,0.7333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪锌,有色金属,long,2026-03-27,2026-04-07,23380.0,23730.0,6,0.014970059880239521,1.0,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铝,有色金属,long,2026-03-31,2026-04-07,24875.0,24630.0,4,-0.00984924623115578,1.0,tp3_main_turn_down
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2026-04-01,2026-04-08,1114.5,1120.5,4,-0.005383580080753701,1.0,tp3_main_turn_up
策略2_仅3槽_无板块互斥,棕榈油,油脂油料,short,2026-04-08,2026-04-20,9568.0,9486.0,8,0.008570234113712374,0.8,final_close
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2026-04-08,2026-04-14,24780.0,24960.0,4,-0.007263922518159807,0.7333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,豆粕,油脂油料,long,2026-04-09,2026-04-16,2971.0,2991.0,5,0.006731740154830024,0.9333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,PTA,化工能化,long,2026-04-16,2026-04-20,6378.0,6306.0,2,-0.011288805268109126,1.0,final_close
策略2_仅3槽_无板块互斥,焦煤,黑色系,long,2026-04-17,2026-04-20,1226.0,1263.5,1,0.030587275693311582,1.0,final_close
策略2_仅板块互斥_6板块槽位,PTA,化工能化,short,2025-07-30,2025-08-08,4856.0,4684.0,7,0.03542009884678748,,tp3_main_turn_up
策略2_仅板块互斥_6板块槽位,沪金,贵金属,short,2025-07-30,2025-08-04,773.78,781.42,3,-0.009873607485331731,,tp3_main_turn_up
策略2_仅板块互斥_6板块槽位,沪铜,有色金属,short,2025-07-30,2025-08-05,78930.0,78580.0,4,0.0044343088812872165,,tp3_main_turn_up
策略2_仅板块互斥_6板块槽位,焦煤,黑色系,short,2025-07-30,2025-08-05,1232.5,1182.0,4,0.040973630831643,,tp3_main_turn_up
策略2_仅板块互斥_6板块槽位,沪金,贵金属,long,2025-08-06,2025-08-11,783.68,779.48,3,-0.005359330338913755,,tp3_main_turn_down
策略2_仅板块互斥_6板块槽位,沪铝,有色金属,long,2025-08-06,2025-08-14,20650.0,20715.0,6,0.0031476997578692495,,tp3_main_turn_down
策略2_仅板块互斥_6板块槽位,豆粕,油脂油料,long,2025-08-06,2025-08-18,3072.0,3155.0,8,0.027018229166666668,,tp3_main_turn_down
策略2_仅板块互斥_6板块槽位,PTA,化工能化,long,2025-08-12,2025-08-14,4726.0,4666.0,2,-0.012695725772323318,,tp3_main_turn_down
策略2_仅板块互斥_6板块槽位,沪金,贵金属,short,2025-08-13,2025-08-20,777.72,772.68,5,0.006480481407190348,,tp3_main_turn_up
策略2_仅板块互斥_6板块槽位,玉米,农产品,long,2025-08-13,2025-08-15,2212.0,2190.0,2,-0.009945750452079566,,tp3_main_turn_down
策略2_仅板块互斥_6板块槽位,焦煤,黑色系,short,2025-08-14,2025-08-25,1214.0,1215.5,7,-0.0012355848434925864,,tp3_main_turn_up
